AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Adoor,115,SC,Pathanamthitta,Chittayam Gopakumar,Communist Party Of India,204205,154817,75.8,2919,1.9
Alappuzha,104,GEN,Alappuzha,P.P Chitharanjan,Communist Party Of India (Marxist),194187,157357,81.0,11644,7.4
Alathur,60,GEN,Palakkad,K.D.Prasenan,Communist Party Of India (Marxist),164415,134583,81.9,34118,25.4
Aluva,76,GEN,Ernakulam,Anwar Sadath,Indian National Congress,182360,149489,82.0,18886,12.6
Ambalapuzha,105,GEN,Alappuzha,H.Salam,Communist Party Of India (Marxist),171291,136430,79.6,11125,8.2
Angamaly,75,GEN,Ernakulam,Roji M John,Indian National Congress,166980,137328,82.2,15929,11.6
Aranmula,113,GEN,Pathanamthitta,Veena George,Communist Party Of India (Marxist),228468,161291,70.6,19003,11.8
Aroor,102,GEN,Alappuzha,Daleema,Communist Party Of India (Marxist),190134,163645,86.1,7013,4.3
Aruvikkara,136,GEN,Thiruvananthapuram,Adv. G. Steephen,Communist Party Of India (Marxist),190088,144808,76.2,5046,3.5
Attingal,128,SC,Thiruvananthapuram,O S Ambika,Communist Party Of India (Marxist),195949,146555,74.8,31636,21.6
Azhikode,10,GEN,Kannur,K V Sumesh,Communist Party Of India (Marxist),172328,144380,83.8,6141,4.3
Balusseri,25,SC,Kozhikode,Adv. K.M. Sachindev,Communist Party Of India (Marxist),215827,181523,84.1,20372,11.2
Beypore,29,GEN,Kozhikode,Adv. P. A  Mohamed Riyas,Communist Party Of India (Marxist),194583,164589,84.6,28747,17.5
Chadayamangalam,122,GEN,Kollam,J.Chinchurani,Communist Party Of India,197285,146492,74.3,13678,9.3
Chalakkudy,72,GEN,Thrissur,Saneeshkumar Joseph,Indian National Congress,185970,142154,76.4,1057,0.7
Changanassery,99,GEN,Kottayam,Adv. Job Maichil,Kerala Congress(M),166961,123151,73.8,6059,4.9
Chathannur,126,GEN,Kollam,G.S. Jayalal,Communist Party Of India,180450,136861,75.8,17206,12.6
Chavara,117,GEN,Kollam,Dr.Sujith Vijayanpillai,Independent,174993,142179,81.2,1096,0.8
Chelakkara,61,SC,Thrissur,K Radhakrishnan,Communist Party Of India (Marxist),187842,152595,81.2,39400,25.8
Chengannur,110,GEN,Alappuzha,Saji Cherian,Communist Party Of India (Marxist),200173,146680,73.3,32093,21.9
Cherthala,103,GEN,Alappuzha,P Prasad,Communist Party Of India,205890,177495,86.2,6148,3.5
Chirayinkeezhu,129,SC,Thiruvananthapuram,V. Sasi,Communist Party Of India,192699,144322,74.9,14017,9.7
Chittur,58,GEN,Palakkad,K. Krishnankutty,Janata Dal (Secular),181124,151620,83.7,33878,22.3
Devikulam,88,SC,Idukki,Adv. A. Raja,Communist Party Of India (Marxist),168875,114967,68.1,7848,6.8
Dharmadam,12,GEN,Kannur,Pinarayi Vijayan,Communist Party Of India (Marxist),184844,159847,86.5,50123,31.4
Elathur,26,GEN,Kozhikode,A .K Saseendran,Nationalist Congress Party,194090,163366,84.2,38502,23.6
Eravipuram,125,GEN,Kollam,M. Noushad,Communist Party Of India (Marxist),170142,126310,74.2,28121,22.3
Eranad,34,GEN,Malappuram,P.K. Basheer,Indian Union Muslim League,171167,142636,83.3,22546,15.8
Eranakulam,82,GEN,Ernakulam,T. J. Vinod,Indian National Congress,152489,109386,71.7,10970,10.0
Ettumanoor,96,GEN,Kottayam,V N Vasavan,Communist Party Of India (Marxist),161816,125387,77.5,14303,11.4
Guruvayoor,63,GEN,Thrissur,N.K.Akbar,Communist Party Of India (Marxist),195371,145752,74.6,18268,12.5
Haripad,107,GEN,Alappuzha,Ramesh Chennithala,Indian National Congress,187659,150087,80.0,13666,9.1
Idukki,91,GEN,Idukki,Roshy Augustine,Kerala Congress(M),181416,130674,72.0,5573,4.3
Irikkur,9,GEN,Kannur,Adv. Sajeev Joseph,Indian National Congress,188918,152057,80.5,10010,6.6
Irinjalakkuda,70,GEN,Thrissur,R Bindu,Communist Party Of India (Marxist),187887,154589,82.3,5949,3.8
Kaduthuruthy,94,GEN,Kottayam,Adv. Mons Joseph,Kerala Congress,181208,130680,72.1,4256,3.3
Kaipamangalam,69,GEN,Thrissur,E T Taison Master,Communist Party Of India,161184,135617,84.1,22698,16.7
Kalamassery,77,GEN,Ernakulam,P. Rajeeve,Communist Party Of India (Marxist),189160,154345,81.6,15336,9.9
Kalliasseri,7,GEN,Kannur,M Vijin,Communist Party Of India (Marxist),175316,144919,82.7,44393,30.6
Kalpetta,19,GEN,Wayanad,Adv.T Siddiqu,Indian National Congress,195211,151381,77.5,5470,3.6
Kanhangad,4,GEN,Kasaragod,E Chandrashekaran,Communist Party Of India,209571,166198,79.3,27139,16.3
Kanjirappally,100,GEN,Kottayam,Dr.N.Jayaraj,Kerala Congress(M),178911,137079,76.6,13703,10.0
Kannur,11,GEN,Kannur,Ramachandran Kadannappalli,Congress (Secular),165259,133585,80.8,1745,1.3
Karunagappally,116,GEN,Kollam,C. R Mahesh,Indian National Congress,204578,172834,84.5,29208,16.9
Kasaragod,2,GEN,Kasaragod,N A Nellikkunnu,Indian Union Muslim League,193015,143861,74.5,12901,9.0
Kattakkada,138,GEN,Thiruvananthapuram,Adv I B Satheesh,Communist Party Of India (Marxist),188906,144920,76.7,23231,16.0
Kayamkulam,108,GEN,Alappuzha,Adv. U. Prathibha,Communist Party Of India (Marxist),202956,160837,79.2,6298,3.9
Kazhakkoottam,132,GEN,Thiruvananthapuram,Kadakampally Surendran,Communist Party Of India (Marxist),181248,137657,75.9,23497,17.1
Kochi,80,GEN,Ernakulam,K.J. Maxy,Communist Party Of India (Marxist),172633,128229,74.3,14079,11.0
Kodungallur,73,GEN,Thrissur,Adv. V. R. Sunilkumar,Communist Party Of India,181762,148032,81.4,23893,16.1
Koduvally,31,GEN,Kozhikode,Dr. M.K Muneer,Indian Union Muslim League,172959,150885,87.2,6344,4.2
Kollam,124,GEN,Kollam,M Mukesh,Communist Party Of India (Marxist),170129,129701,76.2,2072,1.6
Kondotty,33,GEN,Malappuram,T V Ibrahim,Indian Union Muslim League,196633,163591,83.2,17666,10.8
Kongad,53,SC,Palakkad,Santhakumari K,Communist Party Of India (Marxist),174578,137555,78.8,27219,19.8
Konni,114,GEN,Pathanamthitta,Adv. K.U Jenish Kumar,Communist Party Of India (Marxist),195688,149350,76.3,8508,5.7
Kothamangalam,87,GEN,Ernakulam,Antony John,Communist Party Of India (Marxist),161940,136283,84.2,6605,4.8
Kottakkal,46,GEN,Malappuram,Prof. Abid Hussain Thangal,Indian Union Muslim League,205405,159265,77.5,16588,10.4
Kottarakkara,119,GEN,Kollam,K N Balagopal,Communist Party Of India (Marxist),198243,148978,75.1,10814,7.3
Kottayam,97,GEN,Kottayam,Thiruvanchoor Radhakrishnan,Indian National Congress,156796,121265,77.3,18743,15.5
Kovalam,139,GEN,Thiruvananthapuram,Adv. M. Vincent,Indian National Congress,211706,158327,74.8,11562,7.3
Kozhikode North,27,GEN,Kozhikode,Thottathil Ravindran,Communist Party Of India (Marxist),171960,137046,79.7,12928,9.4
Kozhikode South,28,GEN,Kozhikode,Ahammad Devarkovil,Indian National League,149439,118451,79.3,12459,10.5
Kundara,123,GEN,Kollam,P.C.Vishnunadh,Indian National Congress,199981,155691,77.9,4523,2.9
Kunnamangalam,30,GEN,Kozhikode,Adv. P. T. A Rahim,Independent,219151,192958,88.0,10276,5.3
Kunnamkulam,62,GEN,Thrissur,A.C.Moideen,Communist Party Of India (Marxist),183869,154272,83.9,26631,17.3
Kunnathunad,84,SC,Ernakulam,Adv. P.V.Sreenijin,Communist Party Of India (Marxist),177018,154359,87.2,2715,1.8
Kunnathur,118,SC,Kollam,Kovoor Kunjumon,Independent,202165,160062,79.2,2790,1.7
Kuthuparamba,14,GEN,Kannur,K.P. Mohanan,Loktantrik Janta Dal,184586,155215,84.1,9541,6.1
Kuttanad,106,GEN,Alappuzha,Thomas K Thomas,Nationalist Congress Party,163667,125113,76.4,5516,4.4
Kuttiadi,21,GEN,Kozhikode,K P Kunhammed Kutti Master,Communist Party Of India (Marxist),189843,169483,89.3,333,0.2
Malampuzha,55,GEN,Palakkad,A. Prabhakaran,Communist Party Of India (Marxist),205694,162551,79.0,25734,15.8
Malappuram,40,GEN,Malappuram,P. Ubaidulla,Indian Union Muslim League,204136,160831,78.8,35208,21.9
Manalur,64,GEN,Thrissur,Murali,Communist Party Of India (Marxist),205549,166790,81.1,29876,17.9
Mananthavady,17,ST,Wayanad,O.R.Kelu,Communist Party Of India (Marxist),186656,151784,81.3,9282,6.1
Manjeri,37,GEN,Malappuram,Adv. U.A. Latheef,Indian Union Muslim League,197781,155790,78.8,14573,9.4
Manjeshwar,1,GEN,Kasaragod,A K M Ashraf,Indian Union Muslim League,212108,172039,81.1,745,0.4
Mankada,39,GEN,Malappuram,Manjalamkuzhi Ali,Indian Union Muslim League,203235,167669,82.5,6246,3.7
Mannarkad,54,GEN,Palakkad,Advocate. N. Samsudheen,Indian Union Muslim League,190489,151342,79.4,5870,3.9
Mattannur,15,GEN,Kannur,K K Shailaja Teacher,Communist Party Of India (Marxist),181918,154338,84.8,60963,39.5
Mavelikara,109,SC,Alappuzha,M S Arun Kumar,Communist Party Of India (Marxist),196697,150171,76.3,24717,16.5
Muvattupuzha,86,GEN,Ernakulam,Dr. Mathew Kuzhalnadan,Indian National Congress,179830,143927,80.0,6161,4.3
Nadapuram,22,GEN,Kozhikode,E. K. Vijayan,Communist Party Of India,203567,175187,86.1,4035,2.3
Nattika,68,SC,Thrissur,C C Mukundhan,Communist Party Of India,197011,152724,77.5,28431,18.6
Nedumangad,130,GEN,Thiruvananthapuram,Adv. G. R. Anil,Communist Party Of India,201703,152085,75.4,23309,15.3
Nenmara,59,GEN,Palakkad,K. Babu,Communist Party Of India (Marxist),184892,150465,81.4,28704,19.1
Nemom,135,GEN,Thiruvananthapuram,V.Sivankutty,Communist Party Of India (Marxist),193199,145261,75.2,3949,2.7
Neyyattinkara,140,GEN,Thiruvananthapuram,K. Ansalan,Communist Party Of India (Marxist),182075,138384,76.0,14262,10.3
Nilambur,35,GEN,Malappuram,P.V. Anvar,Independent,208082,172698,83.0,2700,1.6
Ollur,66,GEN,Thrissur,K Rajan,Communist Party Of India,191115,155344,81.3,21506,13.8
Ottapalam,52,GEN,Palakkad,Adv. K. Premkumar,Communist Party Of India (Marxist),200302,160294,80.0,15152,9.5
Pala,93,GEN,Kottayam,Mani C Kappen,Independent,177694,137827,77.6,15378,11.2
Palakkad,56,GEN,Palakkad,Shafi Parambil,Indian National Congress,179685,141576,78.8,3859,2.7
Parassala,137,GEN,Thiruvananthapuram,C.K.Hareendran,Communist Party Of India (Marxist),214664,162460,75.7,25828,15.9
Paravur,78,GEN,Ernakulam,V.D. Satheesan,Indian National Congress,188783,157481,83.4,21301,13.5
Pathanapuram,120,GEN,Kollam,K.B. Ganesh Kumar,Kerala Congress (B),180195,136562,75.8,14336,10.5
Pattambi,50,GEN,Palakkad,Muhammed Muhassin,Communist Party Of India,185002,151519,81.9,17974,11.9
Payyannur,6,GEN,Kannur,T  I Madhusoodanan,Communist Party Of India (Marxist),176090,149259,84.8,49780,33.4
Peerumade,92,GEN,Idukki,Vazhoor Soman,Communist Party Of India,166943,126890,76.0,1835,1.4
Perambra,24,GEN,Kozhikode,T.P.  Ramakrishnan,Communist Party Of India (Marxist),188997,163279,86.4,22592,13.8
Peravoor,16,GEN,Kannur,Adv. Sunny Joseph,Indian National Congress,170991,141734,82.9,3172,2.2
Perinthalmanna,38,GEN,Malappuram,Najeeb Kanthapuram,Indian Union Muslim League,203783,164749,80.8,38,0.0
Perumbavoor,74,GEN,Ernakulam,Adv Eldose P Kunnapillil,Indian National Congress,174915,143468,82.0,2899,2.0
Piravom,85,GEN,Ernakulam,Anoop Jacob,Kerala Congress (Jacob),199144,156988,78.8,25364,16.2
Ponnani,48,GEN,Malappuram,P Nandakumar,Communist Party Of India (Marxist),193772,144955,74.8,17043,11.8
Poonjar,101,GEN,Kottayam,Adv. Sebastian Kulathunkal,Kerala Congress(M),178887,139549,78.0,16817,12.1
Punalur,121,GEN,Kollam,P S Supal,Communist Party Of India,203732,145563,71.4,37057,25.5
Puthukkad,71,GEN,Thrissur,K.K. Ramachandran,Communist Party Of India (Marxist),191065,155214,81.2,27353,17.6
Puthuppally,98,GEN,Kottayam,Oommen Chandy,Indian National Congress,168957,131300,77.7,9044,6.9
Quilandy,23,GEN,Kozhikode,Kanathil Jameela,Communist Party Of India (Marxist),194588,161592,83.0,8472,5.2
Ranni,112,GEN,Pathanamthitta,Adv. Pramod Narayan,Kerala Congress(M),191106,127346,66.6,1285,1.0
Shornur,51,GEN,Palakkad,P. Mammikutty,Communist Party Of India (Marxist),187255,151233,80.8,36674,24.2
Sulthanbathery,18,ST,Wayanad,I.C Balakrishnan,Indian National Congress,213280,166272,78.0,11822,7.1
Taliparamba,8,GEN,Kannur,M V Govindan Master,Communist Party Of India (Marxist),202287,177323,87.7,22689,12.8
Tanur,44,GEN,Malappuram,V.Abdurahiman,National Secular Conference,181753,152234,83.8,985,0.6
Tarur,57,SC,Palakkad,P.P.Sumod,Communist Party Of India (Marxist),164354,130407,79.3,24531,18.8
Thalassery,13,GEN,Kannur,Adv. A. N. Shamseer,Communist Party Of India (Marxist),168406,130676,77.6,36801,28.2
Thavanur,47,GEN,Malappuram,Dr.K.T.Jaleel,Independent,189489,150948,79.7,2564,1.7
Thiruvalla,111,GEN,Pathanamthitta,Adv. Mathew T Thomas,Janata Dal (Secular),205473,138936,67.6,11421,8.2
Thiruvambady,32,GEN,Kozhikode,Linto Joseph,Communist Party Of India (Marxist),170541,142590,83.6,4643,3.3
Thiruvananthapuram,134,GEN,Thiruvananthapuram,Adv.Antony Raju,Janadhipathiya Kerala Congress,192527,127182,66.1,7089,5.6
Thodupuzha,90,GEN,Idukki,P J Joseph,Kerala Congress,184005,138133,75.1,20259,14.7
Thrikkakara,83,GEN,Ernakulam,Adv.P.T.Thomas,Indian National Congress,180733,135875,75.2,14329,10.5
Thripunithura,81,GEN,Ernakulam,K. Babu,Indian National Congress,196609,155208,78.9,992,0.6
Thrissur,67,GEN,Thrissur,P Balachandran,Communist Party Of India,169095,128514,76.0,946,0.7
Thrithala,49,GEN,Palakkad,M. B Rajesh,Communist Party Of India (Marxist),183566,151884,82.7,3016,2.0
Tirur,45,GEN,Malappuram,Kurukkoli Moideen,Indian Union Muslim League,213715,170325,79.7,7214,4.2
Tirurangadi,43,GEN,Malappuram,K P A Majeed,Indian Union Muslim League,189097,147050,77.8,9578,6.5
Trikaripur,5,GEN,Kasaragod,M Rajagopalan,Communist Party Of India (Marxist),194025,159850,82.4,26137,16.4
Udma,3,GEN,Kasaragod,C H Kunhambu,Communist Party Of India (Marxist),203810,164907,80.9,13322,8.1
Udumbanchola,89,GEN,Idukki,M. M. Mani,Communist Party Of India (Marxist),161179,124532,77.3,38305,30.8
Vadakara,20,GEN,Kozhikode,K.K.Rema,Revolutionary Marxist Party Of India,158921,136320,85.8,7491,5.5
Vaikom,95,SC,Kottayam,C.K Asha,Communist Party Of India,161075,126906,78.8,29122,22.9
Vallikkunnu,42,GEN,Malappuram,Abdul Hameed Master,Indian Union Muslim League,188584,150264,79.7,14116,9.4
Vamanapuram,131,GEN,Thiruvananthapuram,Adv. D. K. Murali,Communist Party Of India (Marxist),196901,145809,74.1,10242,7.0
Varkala,127,GEN,Thiruvananthapuram,Adv. V Joy,Communist Party Of India (Marxist),184450,134414,72.9,17821,13.3
Vattiyoorkavu,133,GEN,Thiruvananthapuram,Adv.V.K.Prasanth,Communist Party Of India (Marxist),195974,136782,69.8,21515,15.7
Vengara,41,GEN,Malappuram,P.K Kunjhalikutty,Indian Union Muslim League,176389,130764,74.1,30596,23.4
Vypen,79,GEN,Ernakulam,K.N. Unnikrishnan,Communist Party Of India (Marxist),165552,130071,78.6,8201,6.3
Wadakkanchery,65,GEN,Thrissur,Xavier Chittilappilly,Communist Party Of India (Marxist),200294,169019,84.4,15168,9.0
Wandoor,36,SC,Malappuram,A P Anilkumar,Indian National Congress,214741,169267,78.8,15563,9.2
